p[0]	  -22.983322	    2.158231	  -13.361284	 -256.116272	   25.651592	 -149.640167
p[1]	   -0.340576	  -12.150437	   11.257246	   -3.012562	 -136.206192	  124.908829
p[2]	   -4.394716	   -1.312019	  -28.967602	  -46.463524	  -14.318455	 -322.195068
p[3]	   13.068602	   -4.743146	   16.165838	  146.657852	  -53.028584	  182.268692
p[4]	   71.555130	  -18.717903	    4.353409	  798.815979	 -206.751297	   53.024231
p[5]	   -4.452224	  -16.515963	   -6.108648	  -48.570789	 -184.709045	  -66.093681
p[6]	   -0.183653	  -20.639011	    7.841759	   -3.605221	 -229.336441	   88.923347
p[7]	    3.733311	  -19.944777	    5.759047	   42.506992	 -222.203796	   66.022171
p[8]	   18.961140	  -21.642765	   -1.642961	  214.277176	 -243.322739	  -18.751684
p[9]	  -14.510129	    0.176046	   19.964863	 -163.676620	    3.975844	  223.662231
p[10]	    0.301744	   -9.887995	   -6.496751	    6.512681	 -114.697144	  -77.426476
p[11]	   17.599293	  -15.224216	    1.860215	  195.893066	 -169.333496	   19.959808
p[12]	    2.516868	  -18.222107	  -11.417910	   28.854668	 -203.768066	 -127.838768
p[13]	   -6.979650	   10.610937	   -7.538062	  -77.518509	  117.365120	  -83.860481
p[14]	  -20.048018	    8.773322	  -11.441108	 -223.870605	   98.807281	 -121.674545
p[15]	  -14.454439	   -1.814717	   -5.150959	 -162.068954	  -21.404156	  -59.368992
p[16]	   -2.479225	    9.590092	   -6.723896	  -20.656246	   83.859016	  -68.840553
p[17]	  -11.524650	   -7.253832	    4.969474	 -133.011810	  -85.449608	   59.932125
p[18]	   -3.912583	   10.505197	  -15.620070	  -42.016472	  116.627052	 -173.272003
p[19]	    6.788066	   21.109064	   -1.892931	   76.525421	  235.041077	  -21.876076
p[20]	   15.831912	   18.177183	   -1.172532	  177.787537	  203.783585	  -12.810634
p[21]	   -9.713597	    1.568979	    4.137717	 -108.746231	   18.232878	   48.363174
p[22]	   -4.307249	    8.230412	   26.830093	  -48.000271	   92.951401	  299.539642
p[23]	   13.853849	   -4.230555	   15.699027	  155.247452	  -50.023354	  175.471329
p[24]	    7.556988	   12.371346	  -12.437051	   85.676987	  139.134048	 -140.000458
p[25]	   -5.105780	  -11.821095	   20.882620	  -57.462509	 -132.001587	  232.802429
p[26]	   13.266698	   11.376499	    5.342303	  148.715118	  128.550400	   57.925121
p[27]	   12.852809	    2.233256	   -9.322845	  147.762878	   30.818710	 -108.781120
